sampleid,popcode,suppopcode
HG00271,FIN,EUR
HG00276,FIN,EUR
HG00288,FIN,EUR
HG00290,FIN,EUR
HG00303,FIN,EUR
HG00308,FIN,EUR
HG00310,FIN,EUR
HG00315,FIN,EUR
HG00327,FIN,EUR
HG00334,FIN,EUR
HG00339,FIN,EUR
HG00341,FIN,EUR
HG00346,FIN,EUR
HG00353,FIN,EUR
HG00358,FIN,EUR
HG00360,FIN,EUR
HG00365,FIN,EUR
HG00372,FIN,EUR
HG00132,GBR,EUR
HG00137,GBR,EUR
HG00144,GBR,EUR
HG00149,GBR,EUR
HG00151,GBR,EUR
HG00156,GBR,EUR
HG00182,FIN,EUR
HG00187,FIN,EUR
HG00136,GBR,EUR
HG00233,GBR,EUR
HG00143,GBR,EUR
HG00238,GBR,EUR
HG00148,GBR,EUR
HG00240,GBR,EUR
HG00150,GBR,EUR
HG00245,GBR,EUR
HG00155,GBR,EUR
HG00252,GBR,EUR
HG00174,FIN,EUR
HG00257,GBR,EUR
HG00179,FIN,EUR
HG00264,GBR,EUR
HG00181,FIN,EUR
HG00269,FIN,EUR
HG00186,FIN,EUR
HG00377,FIN,EUR
HG00232,GBR,EUR
HG00384,FIN,EUR
HG00237,GBR,EUR
HG00404,CHS,EAS
HG00244,GBR,EUR
HG00409,CHS,EAS
HG00249,GBR,EUR
HG00411,CHS,EAS
HG00251,GBR,EUR
HG00423,CHS,EAS
HG00256,GBR,EUR
HG00428,CHS,EAS
HG00263,GBR,EUR
HG00442,CHS,EAS
HG00268,FIN,EUR
HG00447,CHS,EAS
HG00383,FIN,EUR
HG00459,CHS,EAS
HG00403,CHS,EAS
HG00473,CHS,EAS
HG00408,CHS,EAS
HG00098,GBR,EUR
HG00410,CHS,EAS
HG00101,GBR,EUR
HG00422,CHS,EAS
HG00106,GBR,EUR
HG00427,CHS,EAS
HG00113,GBR,EUR
HG00446,CHS,EAS
HG00118,GBR,EUR
HG00453,CHS,EAS
HG00120,GBR,EUR
HG00458,CHS,EAS
HG00125,GBR,EUR
HG00465,CHS,EAS
HG00472,CHS,EAS
HG00270,FIN,EUR
HG00275,FIN,EUR
HG00282,FIN,EUR
HG00302,FIN,EUR
HG00319,FIN,EUR
HG00478,CHS,EAS
HG00321,FIN,EUR
HG00480,CHS,EAS
HG00326,FIN,EUR
HG00500,CHS,EAS
HG00338,FIN,EUR
HG00512,CHS,EAS
HG00345,FIN,EUR
HG00524,CHS,EAS
HG00357,FIN,EUR
HG00531,CHS,EAS
HG00364,FIN,EUR
HG00536,CHS,EAS
HG00369,FIN,EUR
HG00543,CHS,EAS
HG00371,FIN,EUR
HG00555,PUR,AMR
HG00376,FIN,EUR
HG00567,CHS,EAS
HG00097,GBR,EUR
HG00579,CHS,EAS
HG00100,GBR,EUR
HG00581,CHS,EAS
HG00105,GBR,EUR
HG00733,PUR,AMR
HG00112,GBR,EUR
HG00738,PUR,AMR
HG00117,GBR,EUR
HG00740,PUR,AMR
HG00124,GBR,EUR
HG00978,CDX,EAS
HG00129,GBR,EUR
HG01142,CLM,AMR
HG00131,GBR,EUR
HG01161,PUR,AMR
HG01173,PUR,AMR
HG01178,PUR,AMR
HG01192,PUR,AMR
HG01197,PUR,AMR
HG01200,PUR,AMR
HG00477,CHS,EAS
HG01205,PUR,AMR
HG00530,CHS,EAS
HG01243,PUR,AMR
HG00535,CHS,EAS
HG01248,PUR,AMR
HG00542,CHS,EAS
HG01250,CLM,AMR
HG00554,PUR,AMR
HG00651,CHS,EAS
HG00559,CHS,EAS
HG00656,CHS,EAS
HG00561,CHS,EAS
HG00663,CHS,EAS
HG00566,CHS,EAS
HG00675,CHS,EAS
HG00578,CHS,EAS
HG00694,CHS,EAS
HG00580,CHS,EAS
HG00699,CHS,EAS
HG00585,CHS,EAS
HG00702,CHS,EAS
HG00718,CHS,EAS
HG00707,CHS,EAS
HG00732,PUR,AMR
HG00593,CHS,EAS
HG00737,PUR,AMR
HG00598,CHS,EAS
HG00864,CDX,EAS
HG00613,CHS,EAS
HG00650,CHS,EAS
HG00620,CHS,EAS
HG00655,CHS,EAS
HG00625,CHS,EAS
HG00662,CHS,EAS
HG00632,CHS,EAS
HG00674,CHS,EAS
HG00637,PUR,AMR
HG00693,CHS,EAS
HG01089,PUR,AMR
HG00698,CHS,EAS
HG01096,PUR,AMR
HG00701,CHS,EAS
HG01104,PUR,AMR
HG00706,CHS,EAS
HG01109,PUR,AMR
HG01141,CLM,AMR
HG01111,PUR,AMR
HG01172,PUR,AMR
HG01123,CLM,AMR
HG01177,PUR,AMR
HG01130,CLM,AMR
HG01184,PUR,AMR
HG01135,CLM,AMR
HG01189,PUR,AMR
HG01046,CDX,EAS
HG01191,PUR,AMR
HG01053,PUR,AMR
HG01204,PUR,AMR
HG01058,PUR,AMR
HG01242,PUR,AMR
HG01060,PUR,AMR
HG01247,PUR,AMR
HG01072,PUR,AMR
HG01088,PUR,AMR
HG01077,PUR,AMR
HG01090,PUR,AMR
HG01084,PUR,AMR
HG01095,PUR,AMR
HG01325,PUR,AMR
HG01103,PUR,AMR
HG01344,CLM,AMR
HG01108,PUR,AMR
HG01349,CLM,AMR
HG01110,PUR,AMR
HG01351,CLM,AMR
HG01122,CLM,AMR
HG01356,CLM,AMR
HG01134,CLM,AMR
HG01363,CLM,AMR
HG01139,CLM,AMR
HG01255,CLM,AMR
HG00592,CHS,EAS
HG01274,CLM,AMR
HG00597,CHS,EAS
HG01279,CLM,AMR
HG00600,CHS,EAS
HG01281,CLM,AMR
HG00612,CHS,EAS
HG01286,PUR,AMR
HG00624,CHS,EAS
HG01301,PUR,AMR
HG00629,CHS,EAS
HG01414,PUR,AMR
HG00631,CHS,EAS
HG01433,CLM,AMR
HG00636,CHS,EAS
HG01438,CLM,AMR
HG01312,PUR,AMR
HG01440,CLM,AMR
HG01324,PUR,AMR
HG01445,CLM,AMR
HG01343,CLM,AMR
HG01452,CLM,AMR
HG01348,CLM,AMR
HG01457,CLM,AMR
HG01350,CLM,AMR
HG01464,CLM,AMR
HG01355,CLM,AMR
HG01503,IBS,EUR
HG01362,CLM,AMR
HG01508,IBS,EUR
HG01367,CLM,AMR
HG01510,IBS,EUR
HG01254,CLM,AMR
HG01515,IBS,EUR
HG01259,CLM,AMR
HG01522,IBS,EUR
HG01261,CLM,AMR
HG01527,IBS,EUR
HG01273,CLM,AMR
HG01596,KHV,EAS
HG01278,CLM,AMR
HG01604,IBS,EUR
HG01280,CLM,AMR
HG01609,IBS,EUR
HG01305,PUR,AMR
HG01611,IBS,EUR
HG01052,PUR,AMR
HG01565,PEL,AMR
HG01064,PUR,AMR
HG01572,PEL,AMR
HG01069,PUR,AMR
HG01577,PEL,AMR
HG01071,PUR,AMR
HG01589,PJL,SAS
HG01083,PUR,AMR
HG01471,CLM,AMR
HG01538,IBS,EUR
HG01483,CLM,AMR
HG01552,CLM,AMR
HG01488,CLM,AMR
HG01571,PEL,AMR
HG01490,CLM,AMR
HG01583,PJL,SAS
HG01495,CLM,AMR
HG01590,PJL,SAS
HG01616,IBS,EUR
HG01413,PUR,AMR
HG01623,IBS,EUR
HG01432,CLM,AMR
HG01628,IBS,EUR
HG01437,CLM,AMR
HG01630,IBS,EUR
HG01444,CLM,AMR
HG01673,IBS,EUR
HG01456,CLM,AMR
HG01678,IBS,EUR
HG01463,CLM,AMR
HG01680,IBS,EUR
HG01502,IBS,EUR
HG01685,IBS,EUR
HG01507,IBS,EUR
HG01697,IBS,EUR
HG01514,IBS,EUR
HG01700,IBS,EUR
HG01519,IBS,EUR
HG01375,CLM,AMR
HG01521,IBS,EUR
HG01394,PUR,AMR
HG01526,IBS,EUR
HG01402,PUR,AMR
HG01704,IBS,EUR
HG01705,IBS,EUR
HG01709,IBS,EUR
HG01748,IBS,EUR
HG01711,IBS,EUR
HG01755,IBS,EUR
HG01747,IBS,EUR
HG01762,IBS,EUR
HG01761,IBS,EUR
HG02006,PEL,AMR
HG01766,IBS,EUR
HG02013,ACB,AFR
HG01374,CLM,AMR
HG02018,KHV,EAS
HG01379,CLM,AMR
HG02020,KHV,EAS
HG01393,PUR,AMR
HG02025,KHV,EAS
HG01398,PUR,AMR
HG02032,KHV,EAS
HG01468,CLM,AMR
HG02049,KHV,EAS
HG01482,CLM,AMR
HG02051,ACB,AFR
HG01487,CLM,AMR
HG02056,KHV,EAS
HG01494,CLM,AMR
HG02068,KHV,EAS
HG01499,CLM,AMR
HG02070,KHV,EAS
HG01595,KHV,EAS
HG02075,KHV,EAS
HG01603,IBS,EUR
HG01863,KHV,EAS
HG01608,IBS,EUR
HG01868,KHV,EAS
HG01610,IBS,EUR
HG01870,KHV,EAS
HG01615,IBS,EUR
HG01882,ACB,AFR
HG01622,IBS,EUR
HG01887,ACB,AFR
HG01627,IBS,EUR
HG01894,ACB,AFR
HG01672,IBS,EUR
HG01914,ACB,AFR
HG01677,IBS,EUR
HG01919,PEL,AMR
HG01684,IBS,EUR
HG01921,PEL,AMR
HG01696,IBS,EUR
HG01926,PEL,AMR
HG02012,ACB,AFR
HG01933,PEL,AMR
HG02017,KHV,EAS
HG01938,PEL,AMR
HG02024,KHV,EAS
HG01940,PEL,AMR
HG02029,KHV,EAS
HG01945,PEL,AMR
HG02031,KHV,EAS
HG01767,IBS,EUR
HG02048,KHV,EAS
HG01774,IBS,EUR
HG02050,KHV,EAS
HG01779,IBS,EUR
HG02055,ACB,AFR
HG01781,IBS,EUR
HG02067,KHV,EAS
HG01786,IBS,EUR
HG02074,KHV,EAS
HG01983,PEL,AMR
HG02079,KHV,EAS
HG01988,ACB,AFR
HG01949,PEL,AMR
HG01990,ACB,AFR
HG01951,PEL,AMR
HG01995,PEL,AMR
HG01956,ACB,AFR
HG01952,PEL,AMR
HG01968,PEL,AMR
HG01969,PEL,AMR
HG01970,PEL,AMR
HG01971,PEL,AMR
HG01975,PEL,AMR
HG01976,PEL,AMR
HG01862,KHV,EAS
HG01798,CDX,EAS
HG01867,KHV,EAS
HG01801,CDX,EAS
HG01874,KHV,EAS
HG01806,CDX,EAS
HG01879,ACB,AFR
HG01813,CDX,EAS
HG01881,ACB,AFR
HG01844,KHV,EAS
HG01886,ACB,AFR
HG01849,KHV,EAS
HG01925,PEL,AMR
HG01851,KHV,EAS
HG01932,PEL,AMR
HG02234,IBS,EUR
HG01937,PEL,AMR
HG02239,IBS,EUR
HG01944,PEL,AMR
HG02253,PEL,AMR
HG01893,PEL,AMR
HG02258,ACB,AFR
HG01898,PEL,AMR
HG02260,PEL,AMR
HG01918,PEL,AMR
HG02265,PEL,AMR
HG01920,PEL,AMR
HG02188,CDX,EAS
HG01773,IBS,EUR
HG02190,CDX,EAS
HG01778,IBS,EUR
HG02215,GBR,EUR
HG01780,IBS,EUR
HG02222,IBS,EUR
HG01785,IBS,EUR
HG02145,ACB,AFR
HG01817,CDX,EAS
HG02152,CDX,EAS
HG01843,KHV,EAS
HG02164,CDX,EAS
HG01848,KHV,EAS
HG02169,CDX,EAS
HG01850,KHV,EAS
HG02176,CDX,EAS
HG01855,KHV,EAS
HG02082,KHV,EAS
HG01982,PEL,AMR
HG02087,KHV,EAS
HG01987,ACB,AFR
HG02102,PEL,AMR
HG01797,CDX,EAS
HG02107,ACB,AFR
HG01800,CDX,EAS
HG02304,PEL,AMR
HG01805,CDX,EAS
HG02309,ACB,AFR
HG01812,CDX,EAS
HG02316,ACB,AFR
HG02081,KHV,EAS
HG02323,ACB,AFR
HG02086,KHV,EAS
HG02330,ACB,AFR
HG02106,PEL,AMR
HG02121,KHV,EAS
HG02113,KHV,EAS
HG02126,KHV,EAS
HG02334,ACB,AFR
HG02133,KHV,EAS
HG02339,ACB,AFR
HG02138,KHV,EAS
HG02353,CDX,EAS
HG02140,KHV,EAS
HG02358,CDX,EAS
HG02272,PEL,AMR
HG02360,CDX,EAS
HG02277,PEL,AMR
HG02372,CDX,EAS
HG02284,ACB,AFR
HG02233,IBS,EUR
HG02291,PEL,AMR
HG02238,IBS,EUR
HG02347,PEL,AMR
HG02240,IBS,EUR
HG02373,CDX,EAS
HG02252,PEL,AMR
HG02380,CDX,EAS
HG02257,ACB,AFR
HG02385,CDX,EAS
HG02144,ACB,AFR
HG02392,CDX,EAS
HG02151,CDX,EAS
HG02397,CDX,EAS
HG02156,CDX,EAS
HG02549,ACB,AFR
HG02168,CDX,EAS
HG02563,GWD,AFR
HG02170,CDX,EAS
HG02568,GWD,AFR
HG02303,PEL,AMR
HG02570,GWD,AFR
HG02308,ACB,AFR
HG02575,GWD,AFR
HG02315,ACB,AFR
HG02582,GWD,AFR
HG02322,ACB,AFR
HG02587,GWD,AFR
HG02271,PEL,AMR
HG02594,GWD,AFR
HG02276,PEL,AMR
HG02599,PJL,SAS
HG02283,ACB,AFR
HG02784,PJL,SAS
HG02288,PEL,AMR
HG02789,PJL,SAS
HG02182,CDX,EAS
HG02791,PJL,SAS
HG02187,CDX,EAS
HG02804,GWD,AFR
HG02219,IBS,EUR
HG02809,GWD,AFR
HG02221,IBS,EUR
HG02811,GWD,AFR
HG02377,CDX,EAS
HG02816,GWD,AFR
HG02384,CDX,EAS
HG02455,ACB,AFR
HG02389,CDX,EAS
HG02462,GWD,AFR
HG02391,CDX,EAS
HG02479,ACB,AFR
HG02396,CDX,EAS
HG02481,ACB,AFR
HG02120,KHV,EAS
HG02486,ACB,AFR
HG02132,KHV,EAS
HG02493,PJL,SAS
HG02137,KHV,EAS
HG02688,PJL,SAS
HG02733,PJL,SAS
HG02690,PJL,SAS
HG02738,PJL,SAS
HG02703,GWD,AFR
HG02757,GWD,AFR
HG02715,GWD,AFR
HG02764,GWD,AFR
HG02722,GWD,AFR
HG02769,GWD,AFR
HG02727,PJL,SAS
HG02771,GWD,AFR
HG02602,PJL,SAS
HG02776,PJL,SAS
HG02614,GWD,AFR
HG02783,PJL,SAS
HG02621,GWD,AFR
HG02461,GWD,AFR
HG02645,GWD,AFR
HG02466,GWD,AFR
HG02652,PJL,SAS
HG02478,ACB,AFR
HG02734,PJL,SAS
HG02480,ACB,AFR
HG02758,GWD,AFR
HG02485,ACB,AFR
HG02760,GWD,AFR
HG02492,PJL,SAS
HG02772,GWD,AFR
HG02788,PJL,SAS
HG02657,PJL,SAS
HG02790,PJL,SAS
HG02676,GWD,AFR
HG02808,GWD,AFR
HG02683,PJL,SAS
HG02810,GWD,AFR
HG02501,ACB,AFR
HG02815,GWD,AFR
HG02513,KHV,EAS
HG02555,ACB,AFR
HG02525,KHV,EAS
HG02562,GWD,AFR
HG02537,ACB,AFR
HG02567,GWD,AFR
HG02405,CDX,EAS
HG02574,GWD,AFR
HG02429,ACB,AFR
HG02586,GWD,AFR
HG02436,ACB,AFR
HG02601,PJL,SAS
HG02450,ACB,AFR
HG02613,GWD,AFR
HG02854,GWD,AFR
HG02620,GWD,AFR
HG02861,GWD,AFR
HG02625,GWD,AFR
HG02878,GWD,AFR
HG02644,GWD,AFR
HG02880,GWD,AFR
HG02649,PJL,SAS
HG02885,GWD,AFR
HG02651,PJL,SAS
HG02892,GWD,AFR
HG02656,PJL,SAS
HG02897,GWD,AFR
HG02668,GWD,AFR
HG02924,ESN,AFR
HG02675,GWD,AFR
HG02943,ESN,AFR
HG02682,PJL,SAS
HG02979,ESN,AFR
HG02687,PJL,SAS
HG02981,ESN,AFR
HG02694,PJL,SAS
HG03009,BEB,SAS
HG02699,PJL,SAS
HG03016,PJL,SAS
HG02702,GWD,AFR
HG03023,PJL,SAS
HG02721,GWD,AFR
HG03028,GWD,AFR
HG02726,PJL,SAS
HG03035,GWD,AFR
HG02497,ACB,AFR
HG03047,GWD,AFR
HG02505,ACB,AFR
HG03078,MSL,AFR
HG02512,KHV,EAS
HG03080,MSL,AFR
HG02524,KHV,EAS
HG03085,MSL,AFR
HG02536,ACB,AFR
HG03097,MSL,AFR
HG02409,CDX,EAS
HG03100,ESN,AFR
HG02428,ACB,AFR
HG03105,ESN,AFR
HG02442,ACB,AFR
HG03237,PJL,SAS
HG02839,GWD,AFR
HG03249,GWD,AFR
HG02841,GWD,AFR
HG03251,GWD,AFR
HG02853,GWD,AFR
HG03268,ESN,AFR
HG02860,GWD,AFR
HG03270,ESN,AFR
HG02884,GWD,AFR
HG03054,MSL,AFR
HG02889,GWD,AFR
HG03059,MSL,AFR
HG02891,GWD,AFR
HG03061,MSL,AFR
HG02896,GWD,AFR
HG03066,MSL,AFR
HG02923,ESN,AFR
HG03073,MSL,AFR
HG02942,ESN,AFR
HG03112,ESN,AFR
HG03212,MSL,AFR
HG03117,ESN,AFR
HG03224,MSL,AFR
HG03124,ESN,AFR
HG03229,PJL,SAS
HG03129,ESN,AFR
HG03236,PJL,SAS
HG03131,ESN,AFR
HG03248,GWD,AFR
HG03193,ESN,AFR
HG03250,GWD,AFR
HG03198,ESN,AFR
HG03027,GWD,AFR
HG03225,MSL,AFR
HG03034,GWD,AFR
HG03136,ESN,AFR
HG03039,GWD,AFR
HG03162,ESN,AFR
HG03041,GWD,AFR
HG03167,ESN,AFR
HG03046,GWD,AFR
HG02948,ESN,AFR
HG03053,MSL,AFR
HG02974,ESN,AFR
HG03058,MSL,AFR
HG03369,ESN,AFR
HG03060,MSL,AFR
HG03371,ESN,AFR
HG03065,MSL,AFR
HG03376,MSL,AFR
HG03072,MSL,AFR
HG03383,MSL,AFR
HG03077,MSL,AFR
HG03388,MSL,AFR
HG03084,MSL,AFR
HG03390,MSL,AFR
HG03091,MSL,AFR
HG03484,MSL,AFR
HG03096,MSL,AFR
HG03489,PJL,SAS
HG02978,ESN,AFR
HG03491,PJL,SAS
HG02980,ESN,AFR
HG03511,ESN,AFR
HG03008,BEB,SAS
HG03516,ESN,AFR
HG03015,PJL,SAS
HG03617,BEB,SAS
HG03022,PJL,SAS
HG03624,PJL,SAS
HG03128,ESN,AFR
HG03629,PJL,SAS
HG03130,ESN,AFR
HG03631,PJL,SAS
HG03135,ESN,AFR
HG03636,PJL,SAS
HG03159,ESN,AFR
HG03408,MSL,AFR
HG03161,ESN,AFR
HG03410,MSL,AFR
HG03104,ESN,AFR
HG03439,MSL,AFR
HG03109,ESN,AFR
HG03446,MSL,AFR
HG03111,ESN,AFR
HG03453,MSL,AFR
HG03116,ESN,AFR
HG03458,MSL,AFR
HG03123,ESN,AFR
HG03460,MSL,AFR
HG02947,ESN,AFR
HG03465,MSL,AFR
HG02954,ESN,AFR
HG03472,MSL,AFR
HG02966,ESN,AFR
HG03477,MSL,AFR
HG02973,ESN,AFR
HG03547,MSL,AFR
HG03166,ESN,AFR
HG03559,MSL,AFR
HG03173,ESN,AFR
HG03566,MSL,AFR
HG03197,ESN,AFR
HG03578,MSL,AFR
HG03200,ESN,AFR
HG03294,ESN,AFR
HG03515,ESN,AFR
HG03299,ESN,AFR
HG03522,ESN,AFR
HG03302,ESN,AFR
HG03539,GWD,AFR
HG03307,ESN,AFR
HG03558,MSL,AFR
HG03585,BEB,SAS
HG03565,MSL,AFR
HG03600,BEB,SAS
HG03452,MSL,AFR
HG03605,BEB,SAS
HG03457,MSL,AFR
HG03314,ESN,AFR
HG03464,MSL,AFR
HG03352,ESN,AFR
HG03469,MSL,AFR
HG03787,ITU,SAS
HG03471,MSL,AFR
HG03794,BEB,SAS
HG03476,MSL,AFR
HG03799,BEB,SAS
HG03488,PJL,SAS
HG03802,BEB,SAS
HG03490,PJL,SAS
HG03807,BEB,SAS
HG03508,ESN,AFR
HG03732,ITU,SAS
HG03510,ESN,AFR
HG03744,STU,SAS
HG03394,MSL,AFR
HG03756,STU,SAS
HG03399,MSL,AFR
HG03869,ITU,SAS
HG03402,MSL,AFR
HG03871,ITU,SAS
HG03419,MSL,AFR
HG03876,ITU,SAS
HG03433,MSL,AFR
HG03888,STU,SAS
HG03438,MSL,AFR
HG03890,STU,SAS
HG03445,MSL,AFR
HG03895,STU,SAS
HG03572,MSL,AFR
HG03643,STU,SAS
HG03577,MSL,AFR
HG03650,PJL,SAS
HG03584,MSL,AFR
HG03667,PJL,SAS
HG03589,BEB,SAS
HG03679,STU,SAS
HG03596,BEB,SAS
HG03681,STU,SAS
HG03267,ESN,AFR
HG03706,PJL,SAS
HG03279,ESN,AFR
HG03713,ITU,SAS
HG03293,ESN,AFR
HG03718,ITU,SAS
HG03298,ESN,AFR
HG03720,ITU,SAS
HG03301,ESN,AFR
HG03725,ITU,SAS
HG03363,ESN,AFR
HG03838,STU,SAS
HG03368,ESN,AFR
HG03840,STU,SAS
HG03370,ESN,AFR
HG03845,STU,SAS
HG03382,MSL,AFR
HG03857,STU,SAS
HG03306,ESN,AFR
HG03864,ITU,SAS
HG03313,ESN,AFR
HG03763,PJL,SAS
HG03344,ESN,AFR
HG03770,ITU,SAS
HG03351,ESN,AFR
HG03775,ITU,SAS
HG03604,BEB,SAS
HG03782,ITU,SAS
HG03611,BEB,SAS
HG03686,STU,SAS
HG03616,BEB,SAS
HG03693,STU,SAS
HG03779,ITU,SAS
HG03698,STU,SAS
HG03781,ITU,SAS
HG03701,PJL,SAS
HG03786,ITU,SAS
HG03814,BEB,SAS
HG03793,BEB,SAS
HG03821,BEB,SAS
HG03798,BEB,SAS
HG03826,BEB,SAS
HG03801,BEB,SAS
HG03833,BEB,SAS
HG03832,BEB,SAS
HG04076,ITU,SAS
HG03837,STU,SAS
HG04090,ITU,SAS
HG03844,STU,SAS
HG04115,STU,SAS
HG03849,STU,SAS
HG04122,STU,SAS
HG03851,STU,SAS
HG04127,STU,SAS
HG03856,STU,SAS
HG04134,BEB,SAS
HG03697,STU,SAS
HG04204,STU,SAS
HG03700,PJL,SAS
HG04209,ITU,SAS
HG03705,PJL,SAS
HG04211,ITU,SAS
HG03717,ITU,SAS
HG04216,ITU,SAS
HG03755,STU,SAS
HG04228,STU,SAS
HG03762,PJL,SAS
HG04235,ITU,SAS
HG03767,PJL,SAS
HG03903,BEB,SAS
HG03774,ITU,SAS
HG03908,BEB,SAS
HG03635,PJL,SAS
HG03910,BEB,SAS
HG03642,STU,SAS
HG03915,BEB,SAS
HG03654,PJL,SAS
HG03922,BEB,SAS
HG03863,ITU,SAS
HG04141,BEB,SAS
HG03868,ITU,SAS
HG04146,BEB,SAS
HG03870,ITU,SAS
HG04153,BEB,SAS
HG03875,ITU,SAS
HG04158,BEB,SAS
HG03882,ITU,SAS
HG04160,BEB,SAS
HG03887,STU,SAS
HG03953,STU,SAS
HG03673,STU,SAS
HG03960,ITU,SAS
HG03680,STU,SAS
HG03965,ITU,SAS
HG03685,STU,SAS
HG03972,ITU,SAS
HG03692,STU,SAS
HG03977,ITU,SAS
HG03729,ITU,SAS
HG03989,STU,SAS
HG03731,ITU,SAS
HG03991,STU,SAS
HG03736,STU,SAS
HG04002,ITU,SAS
HG03743,STU,SAS
HG04014,ITU,SAS
HG03750,STU,SAS
HG04019,ITU,SAS
HG03806,BEB,SAS
HG04026,ITU,SAS
HG03813,BEB,SAS
HG04033,STU,SAS
HG03825,BEB,SAS
HG04177,BEB,SAS
HG04063,ITU,SAS
HG04184,BEB,SAS
HG04070,ITU,SAS
HG04189,BEB,SAS
HG04075,STU,SAS
HG04191,BEB,SAS
HG04094,ITU,SAS
HG03927,BEB,SAS
HG04099,STU,SAS
HG03934,BEB,SAS
HG04107,STU,SAS
HG03939,BEB,SAS
HG04114,STU,SAS
HG03941,BEB,SAS
HG03988,STU,SAS
HG04038,STU,SAS
HG03990,STU,SAS
HG04040,STU,SAS
HG03995,STU,SAS
NA12828,CEU,EUR
HG04001,ITU,SAS
NA12830,CEU,EUR
HG04006,STU,SAS
NA12842,CEU,EUR
HG04018,ITU,SAS
NA12873,CEU,EUR
HG04020,ITU,SAS
NA12878,CEU,EUR
HG03894,STU,SAS
NA12892,CEU,EUR
HG03899,STU,SAS
NA18484,YRI,AFR
HG03902,BEB,SAS
NA18489,YRI,AFR
HG03907,BEB,SAS
NA18504,YRI,AFR
HG03914,BEB,SAS
NA18509,YRI,AFR
HG04195,BEB,SAS
NA18511,YRI,AFR
HG04208,STU,SAS
NA18516,YRI,AFR
HG04210,STU,SAS
NA10860,CEU,EUR
HG04215,STU,SAS
NA10865,CEU,EUR
HG04164,BEB,SAS
NA11832,CEU,EUR
HG04171,BEB,SAS
NA11882,CEU,EUR
HG04176,BEB,SAS
NA11894,CEU,EUR
HG04183,BEB,SAS
NA11919,CEU,EUR
HG04188,BEB,SAS
NA11933,CEU,EUR
HG04133,BEB,SAS
NA11995,CEU,EUR
HG04140,BEB,SAS
NA12006,CEU,EUR
HG04152,BEB,SAS
NA12044,CEU,EUR
HG04157,BEB,SAS
NA12056,CEU,EUR
HG03919,BEB,SAS
NA12145,CEU,EUR
HG03926,BEB,SAS
NA12234,CEU,EUR
HG03940,BEB,SAS
NA12239,CEU,EUR
HG03945,STU,SAS
NA12272,CEU,EUR
HG03969,ITU,SAS
NA18523,YRI,AFR
HG03971,ITU,SAS
NA18528,CHB,EAS
HG03976,ITU,SAS
NA18530,CHB,EAS
HG04025,ITU,SAS
NA18535,CHB,EAS
HG04037,STU,SAS
NA18542,CHB,EAS
HG04056,ITU,SAS
NA18547,CHB,EAS
NA18503,YRI,AFR
NA18559,CHB,EAS
NA18508,YRI,AFR
NA18561,CHB,EAS
NA18510,YRI,AFR
NA18566,CHB,EAS
NA18515,YRI,AFR
NA18573,CHB,EAS
NA18522,YRI,AFR
NA18592,CHB,EAS
NA18527,CHB,EAS
NA18597,CHB,EAS
NA18534,CHB,EAS
NA18605,CHB,EAS
NA18539,CHB,EAS
NA18612,CHB,EAS
NA18541,CHB,EAS
NA18617,CHB,EAS
NA18546,CHB,EAS
NA18624,CHB,EAS
NA18553,CHB,EAS
NA18876,YRI,AFR
NA18558,CHB,EAS
NA18908,YRI,AFR
NA18560,CHB,EAS
NA18910,YRI,AFR
NA18565,CHB,EAS
NA18915,YRI,AFR
NA18572,CHB,EAS
NA18934,YRI,AFR
NA18933,YRI,AFR
NA18939,JPT,EAS
NA18940,JPT,EAS
NA18941,JPT,EAS
NA18945,JPT,EAS
NA18946,JPT,EAS
NA18952,JPT,EAS
NA18953,JPT,EAS
NA18957,JPT,EAS
NA18960,JPT,EAS
NA18964,JPT,EAS
NA18629,CHB,EAS
NA18969,JPT,EAS
NA18631,CHB,EAS
NA18971,JPT,EAS
NA18636,CHB,EAS
NA18976,JPT,EAS
NA18643,CHB,EAS
NA18983,JPT,EAS
NA18648,CHB,EAS
NA18988,JPT,EAS
NA18749,CHB,EAS
NA18990,JPT,EAS
NA18794,CHB,EAS
NA18995,JPT,EAS
NA18852,YRI,AFR
NA19001,JPT,EAS
NA18857,YRI,AFR
NA19006,JPT,EAS
NA18864,YRI,AFR
NA10852,CEU,EUR
NA18869,YRI,AFR
NA10857,CEU,EUR
NA18871,YRI,AFR
NA10864,CEU,EUR
NA12335,CEU,EUR
NA11829,CEU,EUR
NA12342,CEU,EUR
NA11831,CEU,EUR
NA12347,CEU,EUR
NA11843,CEU,EUR
NA12400,CEU,EUR
NA11881,CEU,EUR
NA12708,CEU,EUR
NA11893,CEU,EUR
NA12739,CEU,EUR
NA11918,CEU,EUR
NA12753,CEU,EUR
NA11920,CEU,EUR
NA12760,CEU,EUR
NA11932,CEU,EUR
NA12777,CEU,EUR
NA11994,CEU,EUR
NA18965,JPT,EAS
NA12005,CEU,EUR
NA18972,JPT,EAS
NA12043,CEU,EUR
NA18977,JPT,EAS
NA18577,CHB,EAS
NA18984,JPT,EAS
NA18591,CHB,EAS
NA18989,JPT,EAS
NA18596,CHB,EAS
NA18991,JPT,EAS
NA18609,CHB,EAS
NA19002,JPT,EAS
NA18611,CHB,EAS
NA19007,JPT,EAS
NA18616,CHB,EAS
NA19019,LWK,AFR
NA18623,CHB,EAS
NA19026,LWK,AFR
NA18628,CHB,EAS
